Ranks,NITER,N,MFlops,Time
72,10000,1000,15194.78,1.32
144,10000,1000,7435.63,2.69
216,10000,1000,3639.65,5.50
288,10000,1000,3934.63,5.08
72,10000,4000,83155.57,3.85
144,10000,4000,64963.15,4.93
216,10000,4000,38769.91,8.25
288,10000,4000,49677.45,6.44
72,10000,10000,71226.29,28.08
144,10000,10000,108565.60,18.42
216,10000,10000,112646.35,17.75
288,10000,10000,148387.66,13.48
72,5000,20000,76231.10,52.47
144,5000,20000,137789.13,29.03
216,5000,20000,160170.42,24.97
288,5000,20000,210348.21,19.02
