Ranks,NITER,N,MFlops,Time
72,10000,1000,26380.04,0.76
144,10000,1000,10888.87,1.84
216,10000,1000,5933.49,3.37
288,10000,1000,12903.24,1.55
72,10000,4000,153652.71,2.08
144,10000,4000,138992.66,2.30
216,10000,4000,78604.33,4.07
288,10000,4000,176496.12,1.81
72,10000,10000,86251.05,23.19
144,10000,10000,165578.46,12.08
216,10000,10000,211798.34,9.44
288,10000,10000,500664.15,3.99
72,5000,20000,80177.47,49.89
144,5000,20000,153452.51,26.07
216,5000,20000,226737.31,17.64
288,5000,20000,303459.86,13.18
