Ranks,NITER,N,MFlops,Time
1,10000,1000,7089.63,2.82
2,10000,1000,12509.08,1.60
3,10000,1000,16907.13,1.18
4,10000,1000,23328.63,0.86
5,10000,1000,33152.58,0.60
6,10000,1000,38985.63,0.51
7,10000,1000,42755.36,0.47
8,10000,1000,44917.87,0.45
9,10000,1000,48398.90,0.41
10,10000,1000,51235.40,0.39
11,10000,1000,49606.40,0.40
12,10000,1000,45168.75,0.44
13,10000,1000,45231.56,0.44
14,10000,1000,47713.84,0.42
15,10000,1000,43762.62,0.46
16,10000,1000,42337.35,0.47
17,10000,1000,39112.93,0.51
18,10000,1000,47331.60,0.42
1,10000,4000,4035.47,79.30
2,10000,4000,7781.71,41.12
3,10000,4000,12047.03,26.56
4,10000,4000,14512.39,22.05
5,10000,4000,16139.55,19.83
6,10000,4000,16767.26,19.08
7,10000,4000,17295.25,18.50
8,10000,4000,17385.20,18.41
9,10000,4000,17996.12,17.78
10,10000,4000,19116.51,16.74
11,10000,4000,19212.69,16.66
12,10000,4000,20096.57,15.92
13,10000,4000,20831.66,15.36
14,10000,4000,21450.47,14.92
15,10000,4000,21809.69,14.67
16,10000,4000,21993.18,14.55
17,10000,4000,22534.76,14.20
18,10000,4000,22848.00,14.01
1,10000,10000,3891.09,514.00
2,10000,10000,7533.03,265.50
3,10000,10000,11693.85,171.03
4,10000,10000,14095.66,141.89
5,10000,10000,15596.87,128.23
6,10000,10000,16583.05,120.61
7,10000 10000 26594.05 120.01
8,10000,10000,16777.66,119.21
9,10000,10000,17363.48,115.18
10,10000,10000,17866.63,111.94
11,10000,10000,18309.26,109.23
12,10000,10000,18940.57,105.59
13,10000,10000,19384.62,103.17
14,10000,10000,19532.17,102.40
15,10000,10000,19494.04,102.60
16,10000,10000,19524.79,102.43
17,10000,10000,19641.58,101.82
18,10000,10000,19421.87,102.98
1,5000,20000,3783.53,1057.21
2,5000,20000,7747.81,516.27
3,5000,20000,12011.99,333.00
4,5000,20000,14291.15,279.89
5,5000,20000,15883.05,251.84
6,5000,20000,17050.69,234.59
7,5000,20000,17397.93,229.91
8,5000,20000,17346.50,230.59
9,5000,20000,17900.31,223.46
10,5000,20000,18168.58,220.16
11,5000,20000,18674.39,214.20
12,5000,20000,19325.57,206.98
13,5000,20000,19784.15,202.18
14,5000,20000,20099.54,199.01
15,5000,20000,20285.98,197.18
16,5000,20000,20248.16,197.55
17,5000,20000,20199.93,198.02
18,5000,20000,20066.44,199.34
