Ranks,NITER,N,MFlops,Time
1,10000,1000,7085.28,2.82
2,10000,1000,12604.58,1.59
3,10000,1000,17301.65,1.16
4,10000,1000,22471.28,0.89
5,10000,1000,35375.62,0.57
6,10000,1000,42830.69,0.47
7,10000,1000,53309.01,0.38
8,10000,1000,58771.37,0.34
9,10000,1000,68767.28,0.29
10,10000,1000,75258.56,0.27
11,10000,1000,69582.85,0.29
12,10000,1000,69995.74,0.29
13,10000,1000,72828.11,0.27
14,10000,1000,87243.77,0.23
15,10000,1000,74362.06,0.27
16,10000,1000,62741.27,0.32
17,10000,1000,57156.27,0.35
18,10000,1000,91101.56,0.22
1,10000,4000,4020.14,79.60
2,10000,4000,7814.89,40.95
3,10000,4000,11731.06,27.28
4,10000,4000,14546.47,22.00
5,10000,4000,15828.87,20.22
6,10000,4000,16766.97,19.09
7,10000,4000,17260.67,18.54
8,10000,4000,17583.41,18.20
9,10000,4000,18196.47,17.59
10,10000,4000,19173.75,16.69
11,10000,4000,19036.62,16.81
12,10000,4000,19784.14,16.17
13,10000,4000,20853.10,15.35
14,10000,4000,22205.35,14.41
15,10000,4000,22855.65,14.00
16,10000,4000,23416.59,13.67
17,10000,4000,24093.22,13.28
18,10000,4000,24499.18,13.06
1,10000,10000,3877.54,515.79
2,10000,10000,7529.33,265.63
3,10000,10000,11672.01,171.35
4,10000,10000,14010.58,142.75
5,10000,10000,15279.86,130.89
6,10000,10000,16379.61,122.10
7,10000,10000,16769.03,119.27
8,10000,10000,16765.85,119.29
9,10000,10000,17312.77,115.52
10,10000,10000,17799.48,112.36
11,10000,10000,17615.31,113.54
12,10000,10000,18226.70,109.73
13,10000,10000,19003.87,105.24
14,10000,10000,19607.94,102.00
15,10000,10000,19927.09,100.37
16,10000,10000,19965.25,100.17
17,10000,10000,20181.26,99.10
18,10000,10000,19916.17,100.42
1,5000,20000,3765.70,1062.22
2,5000,20000,7640.39,523.53
3,5000,20000,11852.57,337.48
4,5000,20000,14178.64,282.11
5,5000,20000,15578.12,256.77
6,5000,20000,16766.23,238.57
7,5000,20000,17210.45,232.42
8,5000,20000,17260.18,231.75
9,5000,20000,17725.41,225.66
10,5000,20000,17981.50,222.45
11,5000,20000,17831.33,224.32
12,5000,20000,18527.59,215.89
13,5000,20000,19353.79,206.68
14,5000,20000,20034.70,199.65
15,5000,20000,20360.38,196.46
16,5000,20000,20352.69,196.53
17,5000,20000,20366.39,196.40
18,5000,20000,20205.33,197.97
